fold,model,RMSE,MAE,MAPE
1,Naive,8554.470828331685,6564.544444444445,0.13449059714206044
1,Ridge,5496.665309103374,4330.8423828845125,0.09086384093723385
1,RandomForest,3401.1152519505595,2002.7320248189485,0.04349692061777822
1,XGBoost,3387.9171721469074,1993.319970703125,0.04363382138696175
2,Naive,8426.5478381983,6310.0055555555555,0.12714721518083508
2,Ridge,4595.795595618125,3606.6885933529015,0.07354956027628633
2,RandomForest,2054.5324775588997,1270.3481243290682,0.02606051830536193
2,XGBoost,2186.1725091079497,1346.4273220486111,0.027073967231975256
3,Naive,8601.765813224372,6566.458333333333,0.13366827425456382
3,Ridge,4611.803093558976,3575.9987330216604,0.07309715537994982
3,RandomForest,1341.6421543369167,1072.4590818199654,0.02176902825075215
3,XGBoost,1306.8247176427863,1052.4813747829862,0.021333752267275127
4,Naive,8787.39307782272,6783.726388888889,0.13654167266907244
4,Ridge,4795.126883596662,3779.5626936941208,0.07524818095915965
4,RandomForest,1428.819842788077,1068.171889536575,0.02087387787472219
4,XGBoost,1411.0124680590511,1073.999462890625,0.021133902956600472
5,Naive,8740.805734456064,6599.995833333333,0.12838129670970563
5,Ridge,4386.2223021608825,3472.3993595373313,0.06735576860783675
5,RandomForest,1181.0550782947007,881.2246368506726,0.017080826345772522
5,XGBoost,1271.1712422627127,987.9927842881945,0.01912567919044851
